Adjective,Noun,Frequency
normal,subgroup,91
integral,domain,71
finite,group,54
cyclic,group,49
abelian,group,45
commutative,ring,43
complex,number,42
positive,integer,39
boolean,algebra,39
real,number,38
finite,field,38
common,divisor,36
direct,product,36
finite,extension,30
null,space,29
great,divisor,28
binary,operation,28
left,coset,26
polynomial,p(x,24
normal,extension,23
prime,number,22
irreducible,polynomial,20
proper,subgroup,19
internal,product,19
maximal,ideal,19
rational,number,18
2nd,ed,18
rigid,motion,18
multiplicative,group,18
simple,group,18
minimum,distance,16
linear,code,16
subnormal,series,16
linear,factor,16
cyclic,code,16
primitive,root,15
right,coset,15
single,error,15
algebraic,extension,15
mathematical,induction,14
invertible,matrix,14
equilateral,triangle,14
nontrivial,subgroup,14
cyclic,subgroup,13
odd,number,13
solvable,group,13
principal,ideal,13
minimal,polynomial,13
constructible,number,13
abstract,algebra,12
linear,combination,12
nonabelian,group,12
canonical,matrix,12
orthogonal,group,12
monic,polynomial,12
partial,order,12
linear,algebra,11
natural,number,11
linear,transformation,11
multiplicative,inverse,11
finite,order,11
polynomial,ring,11
normal,series,11
cubic,equation,11
euclidean,domain,11
algebraic,structure,10
small,integer,10
large,number,10
common,multiple,10
inner,product,10
even,number,10
additive,group,10
real,root,10
separable,extension,10
other,hand,9
distinct,prime,9
finite,set,9
original,message,9
standard,generator,9
scalar,multiplication,9
prime,ideal,9
unique,domain,9
euclidean,valuation,9
finite,algebra,9
nonconstant,polynomial,9
same,partition,8
small,element,8
finite,number,8
many,way,8
large,integer,8
cryptography,introduction,8
inner,automorphism,8
gaussian,integer,8
principal,domain,8
ideal,domain,8
upper,bound,8
simple,extension,8
great,deal,7
euclidean,algorithm,7
general,group,7
special,group,7
single,subgroup,7
other,element,7
possible,order,7
binary,tuple,7
small,field,7
additional,exercise,6
similar,argument,6
cartesian,product,6
other,word,6
3rd,ed,6
small,number,6
positive,number,6
infinite,number,6
composite,number,6
infinite,order,6
polynomial,equation,6
finite,subgroup,6
odd,permutation,6
special,case,6
key,cryptosystem,6
twentieth,century,6
first,bit,6
isomorphic,group,6
orthogonal,matrix,6
independent,vector,6
such,p(x,6
irreducible,element,6
primitive,element,6
