Token,Frequency
group,1149
subgroup,623
element,536
field,479
order,413
number,391
set,363
integer,290
polynomial,273
matrix,269
ring,258
code,233
example,225
error,184
permutation,178
ideal,178
extension,177
product,167
vector,163
hint,161
theory,152
root,151
exercise,149
case,149
map,149
identity,143
homomorphism,132
function,127
proof,121
message,121
operation,120
domain,120
equation,118
space,118
theorem,113
−1,112
coset,110
bit,105
cycle,104
relation,102
factor,102
multiplication,101
algebra,100
isomorphism,98
lattice,95
codeword,93
chapter,91
series,91
generator,91
addition,89
degree,89
class,87
form,87
nonzero,85
solution,83
equivalence,83
document,80
automorphism,78
inverse,74
tuple,69
symmetry,67
basis,67
result,65
statement,65
fact,63
length,63
definition,62
proposition,61
a.,61
table,61
point,61
splitting,61
way,60
license,59
p.,57
transposition,57
section,56
problem,55
system,55
figure,55
g(x,55
unit,55
divisor,54
check,54
structure,51
prime,51
parity,51
vertex,50
power,49
column,49
sage,48
’s,48
distance,48
induction,47
∈r,47
1,47
n.,47
term,46
composition,46
time,45
circuit,45
word,44
property,44
subset,44
cryptosystem,44
copy,43
condition,43
division,41
law,40
cube,40
mathematic,39
part,39
method,39
program,39
unity,39
subfield,39
version,38
computer,38
kernel,38
work,37
factorization,37
|g|,37
text,36
reflection,36
bi,36
key,36
square,35
circle,34
coeﬀicient,34
digit,34
−b,33
pair,33
−2,33
motion,33
center,33
p(x,33
course,32
type,32
list,32
finite,32
information,31
mathematician,31
coordinate,31
probability,31
action,31
axiom,30
letter,30
fraction,29
rotation,29
∈g,29
zero,29
application,28
partition,28
multiple,28
nontrivial,28
input,27
entry,27
triangle,27
title,27
dimension,27
student,26
question,26
value,26
computation,26
answer,26
lemma,26
atom,26
ufd,26
cover,26
introduction,25
subspace,25
argument,25
combination,25
notice,25
weight,25
disjoint,24
mapping,24
image,24
ad,24
subring,24
determinant,23
ax,23
manner,23
scheme,23
z3,23
syndrome,23
translation,23
hypothesis,22
∈e,22
transformation,22
sum,22
angle,22
line,21
study,21
intersection,21
detection,21
quotient,21
orbit,21
conjugacy,21
switching,21
anxn,21
book,20
notation,20
−3,20
∩b,20
position,20
conjugate,20
representation,20
transmission,20
g2,20
radical,20
z[x,20
switch,20
cryptography,19
conjecture,19
side,19
character,19
variable,19
characteristic,19
poset,19
one,18
f′(x,18
paper,18
∼=,18
associate,18
x.,17
∈n,17
k.,17
ab,17
rsa,17
mod,17
isometry,17
f(α,17
⪯b,17
bound,17
∧b,17
copyright,17
hand,16
end,16
∈b,16
∈b.,16
algorithm,16
area,16
z2,16
encoding,16
century,16
wallpaper,16
chain,16
∨b,16
knowledge,15
idea,15
∈f,15
right,15
publisher,15
expression,15
h2,15
index,15
year,15
construction,15
pid,15
content,14
pi,14
relationship,14
≡0,14
gl2(r,14
sin,14
cis,14
r[x,14
tion,13
output,13
collection,13
instance,13
object,13
task,13
tool,13
range,13
origin,13
geometry,13
i.,13
ordering,13
quaternion,13
nth,13
pattern,13
conjugation,13
page,13
straightedge,13
note,12
ability,12
corollary,12
remainder,12
ai,12
inclusion,12
format,12
history,12
formula,12
a(x,12
axis,12
plane,12
calculation,12
process,12
age,12
dmin,12
gi,12
z[i,12
⪯a,12
∈v,12
role,11
software,11
state,11
block,11
k=0,11
uniqueness,11
research,11
modulo,11
b.,11
∈g.,11
m.,11
gon,11
|h|,11
converse,11
encryption,11
correction,11
c1,11
⊃h0,11
coloring,11
−x,11
valuation,11
y,11
bch,11
reading,10
logic,10
∈z,10
→b,10
sense,10
congruent,10
sequence,10
−k,10
≤n,10
evaluation,10
rectangle,10
possibility,10
i2,10
|z|,10
linear,10
∈h.,10
closure,10
representative,10
upc,10
edge,10
n1,10
2p,10
diagram,10
color,10
author,10
development,9
use,9
material,9
nature,9
detail,9
principle,9
union,9
r3,9
y.,9
contradiction,9
d4,9
g1h,9
person,9
shift,9
base,9
goal,9
commutator,9
crystal,9
none,9
processor,9
c0,9
−α,9
αnvn,9
fields,9
support,8
science,8
−c,8
thing,8
member,8
i=1,8
a′,8
let,8
→r,8
r2,8
deal,8
reference,8
≤k,8
≥0,8
pk,8
z5,8
∈zn,8
det,8
0,8
choice,8
e.,8
following,8
bijection,8
family,8
name,8
dihedral,8
show,8
size,8
channel,8
pseudoprime,8
capability,8
matter,8
design,8
s3,8
τ(a1,8
0)t,8
volume,8
parallelogram,8
stabilizer,8
consequence,8
normalizer,8
rational,8
ci,8
chip,8
idempotent,8
i=0,8
scalar,8
gf(pn,8
modification,8
holder,8
permission,8
acknowledgement,7
rest,7
project,7
decade,7
notion,7
rule,7
technique,7
∪b)′,7
an,7
define,7
calculus,7
rise,7
congruence,7
bq,7
bs,7
rn,7
hold,7
−a,7
z.,7
g′,7
cancellation,7
criterion,7
centralizer,7
symbol,7
gh,7
a4,7
analysis,7
∈x.,7
h1,7
ciphertext,7
public,7
likelihood,7
correspondence,7
woman,7
isomorphic,7
pm,7
respect,7
u1,7
g1(x,7
location,7
αv,7
v1,7
0v,7
e[x,7
3√,7
g(q,7
documentation,7
source,6
semester,6
subject,6
topic,6
decoding,6
reader,6
school,6
∪b,6
difference,6
∪(b,6
cx,6
∈s.,6
equality,6
exist,6
nk,6
−t,6
existence,6
ar,6
step,6
purpose,6
derivative,6
z8,6
−1,6
−sin,6
situation,6
s5,6
∈sn,6
σi,6
life,6
decrypting,6
machine,6
communication,6
distribution,6
detecting,6
connection,6
j.,6
leader,6
2)n,6
a3)(a4,6
|xg|,6
|z(g)|,6
day,6
∈d,6
∈p,6
cpu,6
cubic,6
compass,6
⪯u,6
absorption,6
passage,6
⟨x2,6
manual,6
disclaimer,6
copying,6
network,6
aggregate,6
importance,5
preliminary,5
ment,5
2,5
effort,5
satisfie,5
complement,5
∩(b,5
ex,5
∈z.,5
investigation,5
reason,5
understanding,5
−bq,5
≡a,5
direction,5
∈h,5
half,5
description,5
language,5
classification,5
polygon,5
diagonal,5
contribution,5
people,5
3z,5
decomposition,5
decryption,5
requirement,5
q.,5
secret,5
kind,5
noise,5
medium,5
